Name,Games,Yellows,Reds,Fouls
M Riley,102,391,20,3024
G Poll,61,203,8,1729
R Styles,111,352,25,2292
C Foy,227,622,36,5005
M Halsey,159,324,18,3253
B Knight,5,15,1,161
H Webb,266,897,30,6347
A Wiley,145,452,17,3715
S Bennett,139,486,25,3337
M Clattenburg,276,902,44,6199
P Dowd,250,898,54,6146
D Gallagher,32,63,10,747
M Atkinson,441,1442,67,9809
P Walton,148,431,19,3092
M Dean,461,1725,94,10305
R Beeby,2,3,0,55
U Rennie,50,139,3,1290
A Marriner,366,1154,59,7650
A D'Urso,1,4,0,25
I Williamson,1,6,1,26
L Mason,287,882,40,6406
K Stroud,17,50,1,479
S Tanner,26,82,4,650
L Probert,182,458,31,3845
D Gallagh,1,0,0,30
D Gallaghe,1,2,0,26
S Attwell,148,525,20,3057
M Jones,202,640,27,4727
K Friend,259,874,30,5636
St Bennett,1,5,0,24
Mn Atkinson,2,9,0,54
A Taylor,299,1019,42,6365
M Oliver,308,969,39,6784
N Swarbrick,132,440,11,2762
J Moss,259,849,37,5571
R East,91,286,11,2057
C Pawson,190,652,30,4311
R Madley,91,293,13,2018
P Tierney,114,373,10,2552
G Scott,87,233,15,1762
S Hooper,39,110,2,909
C Kavanagh,96,314,9,2019
l Mason,1,5,0,21
D Coote,59,205,7,1356
A Madley,37,95,4,878
O Langford,1,1,0,23
P Bankes,33,124,5,739
T Robinson,1,2,0,27
R Jones,15,43,2,329
S Scott,1,3,0,16
D England,18,68,1,384
A Moss,1,4,0,20
J Gillett,4,17,0,85
M Salisbury,1,6,0,22
J Brooks,1,5,0,12
T Harrington,1,2,0,25
